id,role,feature,benefit,
2014,home occupant,sprinkler system,i can feel safe about fires,
474,home owner,a buzzer to alert me when my trash can is full,i know when to take out the trash,
3273,parent,the house to notify me when my children are home alone for more than 20 minutes,they stay safe,
3591,pet owner,"doggie doors that can be programmed to only unlock at the times I tell them, and that can sense the weather outside ",my dog cannot go out in the middle of the night or in a thunderstorm,
480,tv viewer,I want my tv to record my favorite show if it sense I am not home,I can watch my show when I get home.,
1107,person who wants to be safe,an alarm to ring when a gun thats not mine enters the home,I know if someone tries to rob me,
2389,paranoid person,a robot that automatically shoots a net at any stranger that comes into my house,i can play around with the net and potentially catch a burglar in the unlikely event,
1983,home occupant,an automatic door lock/unlock application,I can unlock/lock doors with a touch,
2634,sports fan,my televisions to be automatically switched to the stations that my favorite sports teams are playing on.,I don't forget to watch the games.,
3669,home owner,alarm clock,i can make up and stay up,
2418,home owner,My smart phone to alert me if I leave the coffee pot on.,I can avoid a dangerous situation such as a fire.,
115,home occupant,a device that organizes the kitchen items and gives an alarm or places the order when it falls below the limit,i benefit of not forgetting to stock the fruits and vegetables,
464,home occupant,"a smart outdoor water system that automatically switches between cisterns/rain barrels, gray water system and utility supply depending on what is available",I can easily use less town/city supplied water.,
3190,busy woman,voice activated online grocery ordering - similar to dash with a voice activated component,can order groceries as I realize I'm running out of something,
2187,home occupant,an automatic shower cleaner,I do not have to clean the drain and shower,
2974,home owner,to automatically be notified when the septic tank is near full,I do not have any septic problems.,
1343,home owner,my smart home to alert me at specified times to exercise,I am forced to make the effort to be healthy,
2394,home occupant,"A speaker system that turns on automatically when I'm in the shower, and turns off when I'm done using it.",I can listen to my favorite music while showering.,
1297,home occupant,my home to monitor my body and it's functions and test excretions for possible ailments,I can be sure I'm healthy and disease free,
3039,home occupant,a self cooling oven,no one would ever burn themselves on its outer surfaces even when it's in use. ,
1294,home occupant,my smart home to turn to begin gradually turning on the bedroom light at 5:20 AM each morning and be completely on by 5:30 AM,I can wake up slowly and not be startled by an alarm.,
106,parent,i want my smart home to buzz when my child is close to an object that can potentially fall,i want my smart home to make dog barking sound when a person ,
950,home maker,To stop the burner,complete the cook then stop the burner automatically,
3339,home owner,color changing interior paint that is sensitive to light,room colors darken in winter to absorb more light/heat energy,
1886,home owner,robot butler,he can take care of my light work,
1174,home owner,a burglar alarm system,we can be alerted if robbed,
514,home owner,my door to recognize and announce people,I know who is at the door.,
470,parent,a latch on my windows so I can lock my kids windows at night,my child is safe,
2768,home occupant,smart roofing,it will absorb or reflect the temperature of the outside air to keep the house comfortable.,
156,home occupant,my smart home to alert me when I am about to run out of medication,I will never run out of mediaction,
1457,home owner,a smart shower which signals when i pre programmed temperature is reached,i dont burn myself or walk into a cold shower or waste water,
3016,wife,a mood indicator,to tell me if my husband is in a bad mood,
2277,home occupant,a smoke detector if there is any kind of smoke or leaking gas detected.,I am alerted before any disaster takes place,
96,home occupant,the central a/c system to switch between cooling and heating based on temperature,there will be no need to manually adjust the system,
762,person concerned about the environment.,my smart home to track my energy usage by the specific environmental impact my different utilities have.,I can more efficiently conserve my energy usage in the most beneficial way.,
2354,home occupant,eye detection locks,"if I forget my keys, I won't get locked out of the house",
162,dancer,"my smart house to convert a room (move furniture, have mirrors, and have a place for media)",I can exercise and practice for more time rather than rearrange a room on a daily basis,
1815,parent,the wifi to turn off at bedtime,my kids wont be using it too late. ,
3312,home owner,the fans to turn on when i enter a room and turn off when I leave,i can be cool when i am in a room and not waste energy wen its not needed.,
1767,home occupant,my house to turn off devices that haven't been used in a certain amount of time,I don't waste energy,
1823,home occupant,my vacuum cleaner to clean to floors at a particular time daily or as I Program ,my house will be clean ,
3704,busy person,"all of my favorite shows to be recorded for me, accessible by voice command","I can just shout at the TV when I walk in, and have my shows ready for me when I sink into the couch",
590,home occupant,my washer to run when no one else in my community is using the washer,we avoid peak loads,
1196,parent,a feature to alert me when the fence gate has been opened,I know that the children and pets are still in the yard.,
1584,home owner,Sensor,When I touch it it can calculate how many people are inside the room,
1851,pet owner,"Fix auto alarm for feed food , and take out , everything need in system.","Get i. Order , different pet maintainence .",
1862,home occupant,windows that change tint when the lighting in the house becomes too bright,My eyes are not blinded when it's really bright out,
3439,home occupant,A feature of my smart home to gradually dim outside lights as daylight slowly approaches in the early morning.,"So that the full light will not have to be turned off automatically, but will fade as the sun comes up and the night lights are no longer needed",
1466,home occupant,outlet timers,I could turn on certain light decorations at night and have them turn off in the morning.,
800,home owner,My home to alert me to changing environmental issues,I can keep my family safe,
773,tv viewer,"my tv to determine my mood based on my emails, text, social media postings and phone calls, and day of the month and other factors",so that it can recommend a mood-appropriate show for me,
3566,parent,a heartbeart monitor that alerts my if my child's heartbeart is irregular,I can reduce risk of SIDS,
1502,home occupant,my smart home to alert me whenever a presence is detected on the downstairs level when I've recorded that I am upstairs for the night,I can feel safe living alone and know if an intruder has entered my house. ,
2073,parent,to know when my child arrives home from school,I can have peace of mind knowing they're safe. ,
475,engineer,entertainment,speakers management,
1378,home owner,a smart fridge that jeeps track of essential food items,it will remind me when I need more items. ,
1535,home occupant,my smart home to turn on fans automatically when stagnant air is detected ,I can experience proper air flow and reduce discomfort. ,
35,home occupant,my smart home to have auto sprinklers,automatically watering of plants occurs,
3684,home occupant,the HVAC to automatically adjust for my seasonal preferences,I don't have to keep messing with the thermostat during the day,
3247,parent,my smart home to sense when it is nighttime and my baby cries it will bring the lights up dimly ,I can not trip as I get out of bed to check on the baby.,
387,player,enjoy and money,enjoy well,
1248,pet owner,the litter box to self clean every other day,I don't have to clean it myself,
3539,home occupant,"an entertainment system (video projector, speakers) that can automatically recede into the ceiling or wall when it is shut off",it is not in view when I am not using it.,
3364,parent,entertainment devices to be locked out till homework is done,kids get their work done,
3399,car owner,a way to start the car from inside my home,it can warm up while I drink coffee,
808,home owner,lights to automatically turn off when I'm not present,I conserve energy efficiently,
145,home occupant,a robot cleaner,I will not need to wash the floor and sweep myself,
3067,"person that uses the bathroom and occasionally eat too much spicy food,",a toilet that cleans itself,I don't have to scrub feces,
2580,home occupant,my home to turn off lights automatically when someone leaves a room,electricity is not wasted.,
654,parent,to control what electronic devices my children have access to when I am away from home,their use of electronic devices is in keeping with household rules for safety.,
2701,pet owner,a camera that connects to my smartphone and comes on when it detects pets but not humans,I can keep a watchful eye on my precocious dogs.,
1348,home owner,my smart home to store all of my recipes and be able to recite them to me step by step as I cook,I can find and make meals easily,
3185,parent,a feature on outlets,my children to do not play with outlets,
1325,home occupant,automated temperature checker ,I can take a temperature without having to disturb who ever is not feeling well ,
176,home occupant,My smart home to capture a picture and alert me via a specific sound and a text message via mobile phone when a vehicle enters my driveway,home and/or vehicle-related thefts can be minimized either when we are home or are not,
3095,woman,a smart alarm,I will be protected from intruders.,
534,parent,The front and back door to lock whenever my child under 8 years old tries to open it without entering a selected code,"They will not open the door without permission, leave the house without my knowledge",
2568,home owner,the doors to lock automatically behind me when coming or going.,the house will always be secure,
1113,person that loves alcohol,a warning to let me know if I'm low on liquor,I never run out,
3186,home occupant,Windows to open and close automatically depending on whether its sunny or bright or windy or dusty or raining,my house is well ventilated and naturally lit when the weather is good,
780,homemaker,my robotic vacuum cleaner to start automatically twice a week,my house is not dusty,
2932,home occupant,smart washing machine,"I just have to add the clothes and it washes, adds detergent and dries automatically when full.",
2019,home occupant,gas stove,to save energy,
3317,home occupant,the color temperature of my lighting to be higher in the morning than in the evening,body will be more intuned with the day (ie will be able to sleep better),
1992,home occupant,ability to lock all doors and windows instantly (phone app or hot button),to keep occupants safe,
3489,home owner,temperature readings for every individual room,I know where insulation leaks are,
2215,gamer,To be able to remotely turn my consoles on a stream my games to any tv in my house,I can game anywhere,
2022,art fan,an art room,i can admire my collections,
482,athlete,my treadmill to alert me when I haven't used it in too long,I know i need to exercise.,
1893,parent,a video game console that shuts off at bed time,I can get my kid to school on time,
1658,saver,to check each room and turn off lights when the person is out.,it saves my power,
3709,home occupant,nanny cameras with motion detection enabled,I can know if help attempted to steal anything from any rooms or not without worry,
601,home occupant,one outlet to turn on in the morning to make my coffee.,i have coffee already brewed in the morning.,
2347,parent,"all cabinets, kitchen drawers, and stair gates to be locked when children are playing",they don't get hurt ,
373,home owner,electrical outlets wtih USB built into them,I do not need adapaters to charge newer tech items that work via USB,
1827,parent,my smart home to alert me when someone is in the medicine cabinet,protect my children from taking medicines by accident,
455,morning commuter,my house to notify me if there are any accidents and/or traffic delays on the local freeways,I can plan my commuting schedule in advance and allow myself extra time to get to work or to appointments,
2851,occupant,automatic lighting,I can save energy by having lights turned off when not in use and have lights turn on when entering rooms,
1690,home occupant,a energy consumption detector,I can see whoever is using too much energy,
548,home occupant,"my smart home to warn me if there is mold in the air, in my fridge or bathroom.",I maintain a healthy environment,
3232,home occupant,the toilet seat to sense when my husband is done and to go down automatically,I don't have to lower it myself,
811,clean freak,doors to shut automatically if I leave them open unattended,I can feel better about the cleanliness of my house,
2518,pet owner,a camera linked to my smart phone with video of the dogs,i can supervise them when I'm not in the same room,
432,home occupant,landscape lighting to be turned on when the exterior of the house (especially windows) are approached at night,criminals are deterred. ,
3445,pet owner,a sensor to tell me when the cats litter box needs to be changed,the cats won't use the shower as a litter box,
784,home owner,"my lights and tvs to turn on automatically when I am not home, and it detects an intruder","the intruder will think that there is someone home, and it's not safe to break into my home.",
1473,pet owner,remote light access,I can turn my lights on or off for my cats when I am not at home if it gets dark or daylight.,
1963,home occupant,a temperature regulator that changes the temperature based on time of day and whether house is occupied,I don't waste energy on heat/air conditioning when I am not home or at night when I am sleeping under the covers in winters and don't need the heat on high,
2435,paranoid person,a doorbell with facial recognition ,I can creep on the people coming to my house/tell who is outside ,
1427,trendy person,"stay connected, so it would be wonderful if all my social networks could be accessed across the home with lets say a finger print  and only while my phone is connected to the home's wifi network.","i can access all my social media, email and messages from anywhere in the house without having to carry my phone. ",
3048,parent,"harmful gases, lead levels, and more are monitored ",my children are healthy at all times,
1397,a home owner,to be able to access my pantry and fridge's inventory,i can get exactly what i need from the grocery store without having to create a list. ,
243,occupant,Auto sensing music system,It can sense automatically my mood and play the song as per my mood,
2752,home owner,my smart home to keep a running weekly calendar which gives me task reminders I put in at the start of each week,I never forget a thing,
1926,home occupant,Blinds automatical open with the sun rise and direction,Maximize ampunt of sunlight in home.,
859,home occupant,"my mail to be automatically taken into the house, and sorted by relevance and type",I can ignore junk mail,
2170,home occupant,A thermostat that turns on as I wake up,I am more comfortable in the morning,
2992,parent,my smart home to equipped with a home speaker,"I can get from morning alarms, weather information, to do list to bedtime stories",
833,home occupant,my tv to turn on when my selected show are on,I won't miss my favorite shows,
1624,family head,system to monitor my parents health,to help them maintain their health,
3288,home owner,"my home to inform me when the filters need to be changed (hepa air filter, humidifier filter, furnace filter, etc)",my appliances perform as intended,
3561,homemaker,my smart house to help me menu plan based on food we have in the house,so we don't waste food,
2538,video game player,automatic updating consoles,I can get the latest downloads and updates instantly,
1538,energy conscious occupant,smart thermostat,the temperatures in each room stay regulated at all times,
3192,home owner,a device that can charge electric cars,guests can charge their car while they are at my house,
2520,home occupant,monitor electric line if there any lickege.,prevent possible disaster,
224,single woman,motion lights,I can see any intruders at night as they approach.,
3184,home occupant,a smart dryer,"it can detect when clothes are shrinking, shut itself off, and alert me.",
2761,home occupant,the lights in my room to slowly come on when it is time to wake up,I can be woken ambiently,
2203,parent,"whether meter that indicates everything about whether like rain,sunny,wind",It will helpful to plan outing with child and playing in outdoor,
1726,home occupant,clean my garage,my garage becomes clean,
751,pet owner,my smart home to verify the identify of my pets before letting them in,I don't have to worry about stray animals entering through the cat flap/door,
2393,parent,my smart home to notify whenever a kitchen appliance is turned on.,I can know whenever my child is using the oven when I'm not around.,
2607,home occupant,my water heater to turn off by itself at night,I can save money on my electricity and water bills,
1486,smart home owner,the option to unlock the front door from an app or remote when visitor has been verified from an auditory system.,I do not have to walk to the door to let in a welcomed guest,
3105,nurse,uv light show holder,kill germs,
1390,home owner,program that keeps track of the shows I like and tells me when they are on,I can watch or record it.,
3160,home occupant,my smart home to have self-cleaning modes for all kitchen appliances,I can cook at home more and be healthier,
2276,home occupant,garage door controller,open/close garage door,
2260,internet worker,a screen to be projected on any wall or perhaps like a hologram in any room including the shop or shed,can keep aware of work that comes up wherever on the place I am,
1433,tv watcher,separate TVs controlled for individuals in the house,programs can be recorded and reviewd in multiple locations,
3161,parent,mart lights,they are scheduled to dim at night or turn off when no one is in the room.,
3138,home occupant,automatic light dimmers,light adjusts in my house depending on the amount of natural light.,
2109,home owner,lock and unlock my front door via my smartphone,I dont have to hassle with key,
585,person who often loses things,smart floors and furniture that can tell me if a small object is resting somewhere it shouldn't be (like if I couldn't find my keys),"I can review where misplaced objects are located, and find them",
1444,someone who works from home,a system that tells me how many hours I'm working and per hour rate,I can know how efficient Im being,
2709,home owner,a smart floor,"when the interior temperature reaches a certain point, the floors will warm up automatically.",
2646,home owner,my smart home to turn off the oven after a certain time,I wont burn the food,
33,driver,my smart home to open my garage door when it senses my vehicle arriving outside of it,I don't have to worry about carrying a remote control opener,
1834,parent,to be alerted where my children are when i am not home,i know that they aren't getting into trouble or doing things they shouldn't be doing,
555,pet owner,my smart home to broadcast video to my phone,I can keep an eye on my dog when I'm away,
168,parent,my smart home to alert me when my children are not home by their usual time,I will know if they have gone missing,
1857,parent,a sensor to detect when small children are near a flight of stairs,i can prevent them from falling down the stairs,
912,home owner,my smart home to notify me if the household's carbon footprint is getting too high, we can be more environmentally responsible,
3044,home occupant,scale to upload weight to a data server,I can keep track of it,
1743,home occupant,an automatic solar panel,it will automatically switch all electrical consumption to solar and store energy during the day.,
3492,home occupant,a voice activated water system,I can turn on water for showers or in the sink whenever I tell it to,
2271,home occupant,Wireless Charging of phones,Phones don't need to be tethered to wall sockets while charging,
386,energy saver,wall chargers to turn off after the phone is fully charged,i save electricity,
567,home occupant,everything except essential appliances to be cut off,no electricity is wasted when I am not home,
582,person who appreciates efficiency,a smart washing machine that can order its own detergents/supplies when needed,I'll always have laundry supplies without having to think about it,
2531,home occupant,norify me if I put things in wrong place,I can put it on right place,
2333,video gamer,offer the best video games,the best video games are on offer,
321,home occupant,to be able to lock my house through an app,"if I forget to lock any doors, I can do so from home. ",
1463,home owner,smart locks,like a car key fob doors lock and unlock depending on the proximity of the key i keep on my person,
2754,home occupant,outdoor sensors,when an intruder or passersby go by it will automatically light up,
181,decision maker of home,my smart home to auto start video recording and sending the same to smarthome when a theft approaches inside home,so that so that I can quickly complain the same with sufficient proof to appropriate authorities,
422,home occupant,my smart home to monitor and remember local outdoor temperatures and calculate degree heating days (or degree cooling days),I can accurately gauge my monthly energy use for heating and cooling.,
921,parent,to know when my kids come home by alerting me.,I know where my kids are.,
1875,parent,notification of when children leave/enter home through motion sensors,I can know they are safe,
2222,home occupant,kitchen which tracks supplies by weight,it can remind me when I'm getting low on items.,
66,consumer,my smart home to provide news and updates on my hobbies,I can easily learn about new products I may be interested in,
1217,safety conscious person,gas detectors,any appliance using gas turns off if there is a leak,
3511,home occupant,the toilet to flush as soon as I walk away from it.,I don't have to touch the dirty flush handle.,
3205,parent,a safe garage,"My cars stay locked in place if drivers are too intoxicated, affected, or underage to drive",
255,home occupant,"my smart home to automatically close and open pre-specified window shades, and to turn on-off specific lights in and around my home automatically each night and each day",I do not have to manually adjust these items each evening,
1721,home occupant,an automatic trash can,"once it's full, it will alert me and will tie the bag shut by itself",
970,recording engineer,my house to notify me when someone is going to be entering my recording room,I don't ruin a recording track,
2041,home owner,a monitor for meat and perishables in the fridge,nothing goes bad and makes us sick,
3417,home occupant,my medicine box to read out the medicine whose expiry date has passed,I don't consume them and have serious effects.,
1537,parent,a sensor in my children's play area that will sound an alarm if someone is hurt,I may rest easy knowing that my children are safe.,
3447,home owner,windows that automatically close when rain is coming in the screens,"the floor, carpet, electronics do not get wet",
2362,clumsy person,my bathroom to have motion sensors,"if I fall in the tub/shower, help can be contacted",
1178,home owner,an automatic temperature regulator,the house can be the perfect temperature at all times,
3357,home occupant,any desk that I put a device on to automatically start charging it if it is running low in power without me having to plug anything in.,I don't have to waste energy to find cables.,
2049,home occupant,my fridge to tell me when I am running low on food,I can restock,
1212,computer user,to be alerted when my computer has been breached when I am not around it,I can keep my information safe,
2029,renter,to know when my doors are locked remotely,I can notify my landlord to lock them,
293,parent,channels to be safe,my child wont watch bad stuff,
2979,home occupant,temperature-sensing showerhead and bath spout,"shuts off if the water is too hot, and automatically adjusts the mix for optimal temperature",
3348,home occupant,heat or cooling temps to be evenly distributed in the house set within a range of temps depending on the weather outside,I can live comfortably and efficiently,
1049,home occupant,floors and counters that sanitize themselves,I don't have to worry about spreading germs constantly,
183,home occupant,turn electronic devices on or off from anywhere I have an Internet connection.,I can save energy,
1761,parent,my medicine cabinet to remind me to give children medicine,i don't forget to give them vitamins,
